,Place,HorseNumber,HorseName,HorseCode,Jockey,Trainer,ActualWeight,DeclarWeight,RunningPosition,LBW,FinishTime,WinOdds,Date,RaceIndex
5285,1, 6, DASHING FELLOW, (S284), K Teetan, J Moore, 114, 1166, 4, -, 1.23.23, 6,20160907,20160907_3
5286,3, 7, INVINCIBLE DRAGON, (V166), J Moreira, J Moore, 115, 1165, 5, 1-1/2, 1.23.46, 1.6,20160907,20160907_3
5287,5, 2, HELENE PARAGON, (V167), T Berry, J Moore, 133, 1073, 3, 4-1/4, 1.23.90, 3.4,20160907,20160907_3
5288,WV, 4, GIANT TREASURE, (T148), G Mosse, A S Cruz, 124, 1211, ---, ---,,,20160907,20160907_3
5289,2, 3, CONTENTMENT, (S391), B Prebble, J Size, 129, 1155, 1, N, 1.23.29, 11,20160907,20160907_3
5290,4, 5, SUN JEWELLERY, (T301), Z Purton, J Size, 123, 1144, 2, 1-3/4, 1.23.51, 19,20160907,20160907_3
5291,WV, 1, ABLE FRIEND, (P303), S Clipperton, J Moore, 133, -, ---, ---,,,20160907,20160907_3
5292,1, 11, STRATHCLYDE, (V225), J Moreira, A T Millard, 121, 1176, 1, -, 0.57.99, 3.9,20160907,20160907_4
5293,3, 1, FISH N' CHIPS, (T099), H T Mo, A Lee, 123, 1102, 13, 1, 0.58.17, 6.1,20160907,20160907_4
5294,5, 13, A FAST ONE, (S424), K K Chiong, D E Ferraris, 111, 1122, 10, 3-1/4, 0.58.52, 15,20160907,20160907_4
5295,7, 3, SUPERIOR BOY, (V102), N Callan, C W Chang, 131, 1155, 8, 6-3/4, 0.59.06, 8.4,20160907,20160907_4
5296,9, 4, WINFULL PATROL, (P063), H N Wong, R Gibson, 122, 1260, 14, 9-3/4, 0.59.56, 23,20160907,20160907_4
5297,11, 14, HAPPY GAINS, (V252), K C Ng, K L Man, 109, 1100, 2, 11-1/4, 0.59.80, 99,20160907,20160907_4
5298,13, 10, PRINCE HARMONY, (V012), S Clipperton, W Y So, 122, 1145, 3, 19-1/2, 1.01.11, 27,20160907,20160907_4
5299,WV, LUCKY KINGDOM, (V420), M Chadwick, A S Cruz, 122, 1231, ---, ---, -,,,20160907,20160907_4
5300,2, 2, SUPER JUNIOR, (V390), K C Leung, T P Yung, 129, 1212, 9, 1/2, 0.58.09, 11,20160907,20160907_4
5301,4, 6, FOX SUNTER, (V221), C Y Ho, K W Lui, 124, 1089, 12, 3, 0.58.46, 42,20160907,20160907_4
5302,6, 12, WHISTLE UP, (A082), T H So, L Ho, 117, 1129, 11, 5-3/4, 0.58.92, 94,20160907,20160907_4
5303,8, 5, ENCORE BOY, (A177), U Rispoli, P F Yiu, 126, 1148, 7, 7, 0.59.12, 3.6,20160907,20160907_4
5304,10, 8, TOURBILLON KING, (A104), H W Lai, Y S Tsui, 126, 1119, 4, 10-3/4, 0.59.72, 94,20160907,20160907_4
5305,12, 9, ADMIRABLE, (V314), Z Purton, D J Hall, 126, 1088, 6, 17-1/2, 1.00.80, 27,20160907,20160907_4
5306,14, 7, SICHUAN CHIEF, (V330), O Doleuze, C Fownes, 126, 1156, 5, 21-3/4, 1.01.48, 13,20160907,20160907_4
5307,1, 5, RATTAN, (A061), N Callan, R Gibson, 126, 1099, 2, -, 1.36.65, 5.9,20160907,20160907_5
5308,3, 2, KING'S MAN, (V156), H Bowman, P F Yiu, 131, 1097, 9, 2-1/4, 1.37.00, 6.1,20160907,20160907_5
5309,5, 8, BEST EFFORT, (T220), K C Leung, A Lee, 121, 1023, 8, 4-3/4, 1.37.42, 24,20160907,20160907_5
5310,7, 13, WINGOLD, (T202), S de Sousa, A Lee, 118, 1168, 3, 6-1/2, 1.37.70, 21,20160907,20160907_5
5311,9, 3, THE SHOW, (T256), D Whyte, C H Yip, 128, 1071, 11, 11, 1.38.42, 15,20160907,20160907_5
5312,11, 12, WINNING VIBE, (V147), O Doleuze, C W Chang, 120, 1141, 5, 16-1/4, 1.39.24, 13,20160907,20160907_5
5313,13, 10, TRIUMPHANT LIGHT, (T224), K K Chiong, D E Ferraris, 117, 1064, 1, 22-3/4, 1.40.28, 17,20160907,20160907_5
5314,2, 7, COOL AND NEAT, (V087), J Moreira, D J Hall, 125, 1195, 14, 1-3/4, 1.36.91, 4.5,20160907,20160907_5
5315,4, 11, C P POWER, (V037), S Clipperton, A T Millard, 121, 1060, 4, 3, 1.37.12, 4.5,20160907,20160907_5
5316,6, 6, TEAM SWEET, (V089), T Berry, J Moore, 126, 1089, 10, 6, 1.37.59, 14,20160907,20160907_5
5317,8, 4, UNIQUE JOYOUS, (S244), N Rawiller, K L Man, 128, 1179, 7, 9-1/4, 1.38.14, 25,20160907,20160907_5
5318,10, 9, RHODE ASSASSIN, (T423), M Chadwick, C S Shum, 122, 1057, 6, 12-1/2, 1.38.65, 99,20160907,20160907_5
5319,12, 14, FLYING MACHINE, (T413), C Y Ho, W Y So, 115, 1101, 12, 20-1/2, 1.39.94, 99,20160907,20160907_5
5320,14, 1, BEAUTY LOVE, (V025), K C Ng, A S Cruz, 128, 1053, 13, 24, 1.40.48, 30,20160907,20160907_5
5321,1, 10, MAMBO ROCK, (V050), J Moreira, D J Hall, 116, 1089, 1, -, 2.03.41, 2.6,20160907,20160907_7
5322,3, 2, ENSURING, (S437), H Bowman, J Size, 129, 1139, 4, 1-1/4, 2.03.62, 12,20160907,20160907_7
5323,5, 12, HO HO FEEL, (T029), K C Leung, C H Yip, 114, 1160, 10, 3-1/4, 2.03.94, 12,20160907,20160907_7
5324,6 DH, 9, LOTUS STRIKES BACK, (T145), T Berry, J Moore, 119, 1035, 8, 4-1/2, 2.04.12, 25,20160907,20160907_7
