,Place,HorseNumber,HorseName,HorseCode,Jockey,Trainer,ActualWeight,DeclarWeight,RunningPosition,LBW,FinishTime,WinOdds,Date,RaceIndex
0,1, 10, SEASONS KING, (T032), N Callan, D J Hall, 125, 1048, 10, -, 1.09.35, 9.4,20160907,20160907_1
1,3, 14, NATURAL FRIENDSHIP, (S359), B Prebble, W Y So, 119, 1021, 2, 1-1/2, 1.09.59, 16,20160907,20160907_1
2,5, 9, NO LAUGHING MATTER, (V032), N Rawiller, C S Shum, 125, 1086, 7, 3-1/2, 1.09.89, 70,20160907,20160907_1
3,7, 7, FRIENDS FOREVER, (T079), H N Wong, K L Man, 119, 1255, 5, 4-1/2, 1.10.08, 20,20160907,20160907_1
4,9, 6, BE THERE AHEAD, (S193), T H So, L Ho, 125, 1034, 4, 6-1/4, 1.10.34, 46,20160907,20160907_1
5,11, 11, DUTCH WINDMILL, (T288), K C Ng, C W Chang, 117, 1034, 13, 7, 1.10.48, 84,20160907,20160907_1
6,13, 4, SILVER GATSBY, (T161), K K Chiong, A S Cruz, 122, 1158, 11, 7-1/2, 1.10.56, 16,20160907,20160907_1
7,2, 2, HAPPY SOUND, (V107), J Moreira, A Lee, 129, 1120, 3, 1-1/4, 1.09.56, 1.8,20160907,20160907_1
8,4, 13, LUCKY PLACE, (T004), O Doleuze, C W Chang, 120, 1054, 14, 3, 1.09.84, 76,20160907,20160907_1
9,6, 1, FREE NOVEMBER, (T123), O Bosson, R Gibson, 129, 1099, 8, 4-1/2, 1.10.07, 19,20160907,20160907_1
10,8, 5, REAL SUPREME, (L247), M Chadwick, C W Chang, 128, 1154, 1, 5-3/4, 1.10.27, 10,20160907,20160907_1
11,10, 8, GOLD PRECIOUS, (P364), Z Purton, Y S Tsui, 126, 1177, 12, 6-3/4, 1.10.41, 7.6,20160907,20160907_1
12,12, 3, HAPPY THREE, (V162), S Clipperton, D E Ferraris, 129, 1286, 6, 7, 1.10.49, 66,20160907,20160907_1
13,14, 12, CHANS DELIGHT, (P420), K C Leung, D Cruz, 119, 1090, 9, 9-3/4, 1.10.92, 37,20160907,20160907_1
14,1, 3, RED PEONY, (T014), N Rawiller, Y S Tsui, 133, 1110, 13, -, 1.22.91, 67,20160907,20160907_2
15,3, 14, SNOWHOOVES, (S409), H N Wong, D Cruz, 109, 1075, 2, 2-1/4, 1.23.21, 20,20160907,20160907_2
16,5, 8, GLORY SUNSHINE, (S313), Z Purton, W Y So, 125, 1098, 10, 2-1/2, 1.23.30, 9.4,20160907,20160907_2
17,7, 11, THIS IS GLADIATOR, (T261), H T Mo, C S Shum, 112, 1059, 4, 4, 1.23.55, 28,20160907,20160907_2
18,9, 9, GOLDEN PARTNERS, (S286), K Teetan, A T Millard, 125, 1081, 14, 4-1/2, 1.23.63, 14,20160907,20160907_2
19,11, 4, SPICY DOUBLE, (T393), H W Lai, K L Man, 133, 1118, 9, 7, 1.24.02, 68,20160907,20160907_2
20,13, 13, ENJOY THE GAME, (S062), K C Leung, P F Yiu, 118, 1185, 12, 9-3/4, 1.24.45, 99,20160907,20160907_2
21,2, 1, HAY GO LUCKY, (T023), C Y Ho, K W Lui, 131, 1101, 11, 1-1/4, 1.23.07, 6.9,20160907,20160907_2
22,4, 5, BRILLIANT MONKEYS, (S283), O Doleuze, C W Chang, 132, 1129, 1, 2-1/2, 1.23.27, 15,20160907,20160907_2
23,6, 10, PLAIN BLUE BANNER, (S070), D Whyte, D E Ferraris, 123, 1074, 5, 3-1/4, 1.23.43, 10,20160907,20160907_2
24,8, 7, DOUBLE POINT, (S246), N Callan, C Fownes, 125, 1017, 8, 4, 1.23.56, 29,20160907,20160907_2
25,10, 2, PRINCE FALCON, (T144), J Moreira, J Moore, 133, 1050, 7, 6-3/4, 1.24.00, 2.2,20160907,20160907_2
26,12, 6, DYNAMIC VOYAGE, (P066), K K Chiong, L Ho, 125, 1122, 3, 7-1/2, 1.24.09, 7.7,20160907,20160907_2
27,14, 12, FOUR FOUR FIVE, (P445), K C Ng, T K Ng, 116, 1133, 6, 17-1/4, 1.25.67, 99,20160907,20160907_2
28,1, 6, LUCKY YEAR, (T245), J Moreira, C S Shum, 117, 1135, 2, -, 1.08.19, 2.8,20160907,20160907_3
29,3, 5, BLIZZARD, (S398), K Teetan, P F Yiu, 117, 1129, 4, 1, 1.08.36, 3.5,20160907,20160907_3
30,5, 1, PACKING PINS, (S386), H W Lai, P F Yiu, 133, 1160, 3, 1-3/4, 1.08.49, 13,20160907,20160907_3
31,7, 9, DIVINE BOY, (T163), K C Leung, Y S Tsui, 113, 1073, 1, 3, 1.08.66, 41,20160907,20160907_3
32,9, 10, GOLDEN HARVEST, (N236), K K Chiong, A T Millard, 106, 1167, 9, 5-1/4, 1.09.05, 82,20160907,20160907_3
33,11, 2, DUNDONNELL, (S110), Z Purton, C Fownes, 126, 1172, 11, 13-1/4, 1.10.30, 6.1,20160907,20160907_3
34,2, 11, KEY WITNESS, (S212), M Chadwick, A S Cruz, 113, 1180, 6, 3/4, 1.08.33, 21,20160907,20160907_3
35,4, 8, I'M IN CHARGE, (S164), T H So, C Fownes, 111, 1063, 8, 1-1/4, 1.08.39, 33,20160907,20160907_3
36,6, 7, BORN IN CHINA, (T103), D Whyte, K W Lui, 116, 1069, 7, 2-1/4, 1.08.56, 12,20160907,20160907_3
37,8, 4, AMBER SKY, (N241), H T Mo, P F Yiu, 109, 1192, 10, 3-1/4, 1.08.69, 48,20160907,20160907_3
38,10, 3, DASHING FELLOW, (S284), S Clipperton, J Moore, 122, 1166, 5, 5-1/2, 1.09.05, 7.7,20160907,20160907_3
39,1, 1, BEAUTY MASTER, (V135), Z Purton, A S Cruz, 133, 1104, 5, -, 0.56.35, 5,20160907,20160907_4
40,3, 14, WINNING TALENT, (S256), K Teetan, D E Ferraris, 116, 1032, 9, 1-1/4, 0.56.54, 15,20160907,20160907_4
41,5, 9, MASSIVE MOVE, (T073), K C Leung, L Ho, 119, 1087, 1, 2-1/4, 0.56.71, 6.2,20160907,20160907_4
42,7, 7, PERPETUAL JOYANCE, (V229), J Moreira, J Size, 123, 1124, 3, 2-1/2, 0.56.73, 7.8,20160907,20160907_4
43,9, 6, C P POWER, (V037), S Clipperton, A T Millard, 124, 1069, 11, 3, 0.56.84, 12,20160907,20160907_4
44,11, 8, UNIQUE JOYFUL, (S241), H W Lai, A Lee, 123, 1148, 12, 4-3/4, 0.57.10, 19,20160907,20160907_4
45,13, 5, TRAVEL AMBASSADOR, (T113), Y T Cheng, W Y So, 125, 1152, 14, 12-1/4, 0.58.30, 99,20160907,20160907_4
46,2, 11, ART OF SUCCESS, (P231), M L Yeung, C W Chang, 118, 1131, 2, 1-1/4, 0.56.52, 6.7,20160907,20160907_4
47,4, 12, SIGHT SEEING, (S291), B Prebble, W Y So, 119, 1106, 6, 1-1/2, 0.56.59, 21,20160907,20160907_4
48,6, 4, DIAMOND BIT, (T153), N Rawiller, Y S Tsui, 125, 1109, 7, 2-1/4, 0.56.72, 11,20160907,20160907_4
49,8, 10, PEACE COMBINATION, (T091), K K Chiong, C Fownes, 114, 1058, 10, 2-3/4, 0.56.78, 6,20160907,20160907_4
50,10, 3, FIONN'S CITY, (V049), T H So, C S Shum, 128, 1052, 4, 4, 0.57.00, 66,20160907,20160907_4
51,12, 2, MR POTENTIAL, (V270), D Whyte, C H Yip, 133, 1060, 13, 4-3/4, 0.57.12, 16,20160907,20160907_4
52,WV-A, 13, HARBOUR VICTORY, (T016), C Y Ho, W Y So, 114, 1136, ---, ---,,,20160907,20160907_4
53,1, 1, RUN FORREST, (T176), N Rawiller, C S Shum, 133, 1096, 4, -, 1.22.16, 6.6,20160907,20160907_5
54,3, 4, TEAM SWEET, (V089), J Moreira, J Moore, 132, 1093, 5, 1-3/4, 1.22.45, 3.2,20160907,20160907_5
55,5, 14, EQUITY DOCTRINE, (T329), K C Ng, C W Chang, 108, 1144, 1, 4, 1.22.78, 99,20160907,20160907_5
56,7, 10, ROCK THE TREE, (P272), S Clipperton, D E Ferraris, 118, 1052, 9, 5-1/4, 1.23.01, 61,20160907,20160907_5
57,9, 12, PROMPT EXPRESS, (T168), H W Lai, P F Yiu, 117, 1179, 13, 6-1/4, 1.23.16, 41,20160907,20160907_5
58,11, 8, WORLD RECORD, (V040), K Teetan, A T Millard, 121, 1035, 8, 10-1/4, 1.23.78, 10,20160907,20160907_5
59,13, 5, AUDACITY, (V238), T H So, L Ho, 124, 1093, 6, 12, 1.24.08, 99,20160907,20160907_5
60,2, 9, REGENCY BABY, (S342), H T Mo, A Lee, 110, 1156, 12, 1-1/2, 1.22.38, 11,20160907,20160907_5
61,4, 11, SUPER SWEET ORANGE, (V058), K C Leung, D E Ferraris, 116, 1210, 14, 3-1/4, 1.22.66, 11,20160907,20160907_5
62,6, 13, SMART SALUTE, (V117), H N Wong, Y S Tsui, 110, 1102, 10, 4-1/2, 1.22.88, 99,20160907,20160907_5
63,8, 3, DIVINE DIYA, (P030), M Chadwick, D Cruz, 132, 1158, 2, 5-1/2, 1.23.03, 36,20160907,20160907_5
64,10, 6, FOREVER ACCURATE, (S301), D Whyte, C H Yip, 124, 1118, 7, 8, 1.23.43, 20,20160907,20160907_5
65,12, 7, GAINFULJET, (V283), N Callan, A S Cruz, 122, 1214, 11, 11-3/4, 1.24.05, 17,20160907,20160907_5
66,UR, 2, SUPER MAN, (T213), K K Chiong, W Y So, 126, 1182, 3, -, 3.3,,20160907,20160907_5
67,1, 3, ROUNDABOUT, (T352), D Whyte, W Y So, 128, 1109, 11, -, 1.09.19, 16,20160907,20160907_6
68,3, 5, WONDERFUL JOURNEY, (T402), N Rawiller, P F Yiu, 126, 1113, 13, 3-1/2, 1.09.71, 24,20160907,20160907_6
69,5, 11, RICHCITY FORTUNE, (V088), S Clipperton, J Moore, 121, 1139, 6, 4-1/4, 1.09.86, 36,20160907,20160907_6
70,7, 4, UNLEASHED DRAGON, (V205), Z Purton, R Gibson, 127, 1104, 3, 4-3/4, 1.09.95, 3.1,20160907,20160907_6
71,9, 14, HAPPY FIERY DRAGON, (V108), N Callan, D Cruz, 120, 1018, 4, 7, 1.10.29, 11,20160907,20160907_6
72,11, 6, TRENDIFUL, (S185), O Doleuze, C W Chang, 125, 1134, 8, 9, 1.10.65, 26,20160907,20160907_6
73,13, 10, THE RAINBOW, (V095), Y T Cheng, Y S Tsui, 122, 1059, 14, 10-1/4, 1.10.81, 99,20160907,20160907_6
74,WV, GOLD TALENT, (S113), H W Lai, A Lee, 118, 1133, ---, ---, -,,,20160907,20160907_6
75,2, 1, BOLD STITCH, (S323), K K Chiong, A T Millard, 123, 1109, 7, 1-3/4, 1.09.44, 11,20160907,20160907_6
76,4, 7, FOREVER POSH, (V072), M L Yeung, A S Cruz, 122, 1018, 5, 3-1/2, 1.09.72, 18,20160907,20160907_6
77,6, 2, THE FULL BLOOM, (V243), T H So, C H Yip, 127, 1043, 2, 4-3/4, 1.09.94, 73,20160907,20160907_6
78,8, 12, SMILING GLORY, (V231), J Moreira, K L Man, 121, 1171, 10, 5-3/4, 1.10.12, 3,20160907,20160907_6
79,10, 9, G-ONE UNION, (V276), K Teetan, T P Yung, 122, 1155, 9, 8-3/4, 1.10.61, 7.3,20160907,20160907_6
80,12, 8, EMPIRE OF MONGOLIA, (V317), H T Mo, C S Shum, 112, 1062, 12, 10, 1.10.80, 99,20160907,20160907_6
81,14, 13, BEST REWARD, (V189), H N Wong, W Y So, 118, 1098, 1, 13-1/2, 1.11.33, 99,20160907,20160907_6
82,1, 5, ADVENTURER, (V066), H N Wong, Y S Tsui, 113, 1106, 10, -, 0.56.13, 5,20160907,20160907_7
83,3, 3, FLYING FORCE, (V014), D Whyte, C H Yip, 123, 1072, 5, 3-3/4, 0.56.72, 5.7,20160907,20160907_7
84,5, 1, DIAMOND DRAGON, (V002), N Rawiller, K W Lui, 133, 1121, 6, 3-3/4, 0.56.74, 11,20160907,20160907_7
85,7, 9, RIGHT CALL, (V024), M Chadwick, J Size, 118, 1128, 2, 5-1/4, 0.56.95, 32,20160907,20160907_7
86,9, 2, TRAVEL COMFORTS, (T209), K K Chiong, A T Millard, 117, 1136, 3, 5-1/2, 0.57.01, 26,20160907,20160907_7
87,11, 10, LUCKY CELEBRITY, (S392), J Moreira, W Y So, 116, 1032, 13, 7-1/4, 0.57.28, 7.3,20160907,20160907_7
88,13, 8, EASY TOUCH, (V269), K C Leung, C S Shum, 116, 1217, 11, 15, 0.58.53, 99,20160907,20160907_7
89,2, 13, LOOKS LIKE THE CAT, (T238), K Teetan, C Fownes, 115, 1123, 4, 3-3/4, 0.56.71, 12,20160907,20160907_7
90,4, 14, BEAUTY CONNECTION, (T415), K C Ng, A S Cruz, 109, 1128, 1, 3-3/4, 0.56.74, 42,20160907,20160907_7
91,6, 12, GOAL FOR GOLD, (S439), H T Mo, C S Shum, 105, 1086, 14, 4, 0.56.75, 8.1,20160907,20160907_7
92,8, 11, FISH N' CHIPS, (T099), M L Yeung, A Lee, 113, 1093, 7, 5-1/4, 0.56.95, 11,20160907,20160907_7
93,10, 7, WINFULL PATROL, (P063), Z Purton, R Gibson, 120, 1193, 12, 6-3/4, 0.57.19, 4.7,20160907,20160907_7
94,12, 6, ENDEARING, (V338), S Clipperton, T P Yung, 120, 1112, 8, 8-3/4, 0.57.52, 99,20160907,20160907_7
95,14, 4, MR RIGHT, (T334), T H So, L Ho, 119, 1217, 9, 16, 0.58.69, 99,20160907,20160907_7
96,1, 14, MULTIMAX, (T129), K K Chiong, A S Cruz, 109, 1139, 12, -, 1.09.55, 9.9,20160907,20160907_8
97,3, 8, IRON BOY, (V071), D Whyte, K W Lui, 121, 1169, 3, 3/4, 1.09.68, 2.7,20160907,20160907_8
98,5, 13, LOTUS BREEZE, (T112), T H So, W Y So, 114, 1078, 14, 1-1/4, 1.09.76, 40,20160907,20160907_8
99,7, 11, EXPEDITE, (N111), H N Wong, P O'Sullivan, 109, 1101, 10, 3-1/4, 1.10.06, 99,20160907,20160907_8
100,9, 2, FABULOUS NOVEMBER, (N342), O Bosson, R Gibson, 133, 1140, 8, 4-1/2, 1.10.28, 99,20160907,20160907_8
101,11, 6, ORIONIDS, (V355), H W Lai, C S Shum, 122, 1313, 7, 5-1/2, 1.10.44, 99,20160907,20160907_8
102,13, 5, ELITE SPIRIT, (S200), K C Ng, W Y So, 120, 1159, 6, 9, 1.10.97, 99,20160907,20160907_8
103,2, 3, CHARITY GLORY, (T302), N Rawiller, C S Shum, 127, 1162, 5, SH, 1.09.57, 19,20160907,20160907_8
104,4, 4, GREEN CARD, (V126), J Moreira, J Moore, 127, 1128, 1, 3/4, 1.09.70, 2.2,20160907,20160907_8
105,6, 12, GOLDEN SUN, (V187), K Teetan, A T Millard, 116, 1052, 11, 3, 1.10.03, 59,20160907,20160907_8
106,8, 9, RADIANT STEED, (V127), S Clipperton, Y S Tsui, 118, 1150, 2, 3-3/4, 1.10.15, 47,20160907,20160907_8
107,10, 10, CAREFREE LET GO, (T059), H T Mo, C S Shum, 107, 1056, 13, 5, 1.10.35, 13,20160907,20160907_8
108,12, 1, CAPE THE FAITH, (V349), O Doleuze, C Fownes, 133, 1085, 4, 5-1/2, 1.10.45, 99,20160907,20160907_8
109,14, 7, SUNNY ORIENT, (V302), K C Leung, T P Yung, 120, 1098, 9, 14-1/4, 1.11.83, 11,20160907,20160907_8
110,1, 8, BABA MAMA, (V214), K C Leung, L Ho, 117, 1094, 10, -, 1.21.58, 3.5,20160907,20160907_9
111,3, 6, BEAUTY KINGDOM, (T189), Z Purton, A S Cruz, 122, 1078, 9, 3/4, 1.21.72, 6.1,20160907,20160907_9
112,5, 10, NITRO EXPRESS, (T353), K Teetan, D E Ferraris, 117, 1172, 4, 2-1/2, 1.21.96, 18,20160907,20160907_9
113,7, 3, ENORMOUS HONOUR, (T236), N Rawiller, Y S Tsui, 130, 1130, 12, 5-1/4, 1.22.42, 11,20160907,20160907_9
114,9, 9, METALLIC STAR, (N309), K K Chiong, C H Yip, 112, 996, 8, 8-1/4, 1.22.90, 22,20160907,20160907_9
115,11, 4, PEOPLE'S KNIGHT, (T305), J Moreira, J Moore, 130, 1141, 3, 10, 1.23.18, 4,20160907,20160907_9
116,2, 7, SMART BOY, (V076), B Prebble, W Y So, 120, 1142, 5, 3/4, 1.21.70, 6.6,20160907,20160907_9
117,4, 11, KIRAM, (T093), H W Lai, D E Ferraris, 116, 1125, 2, 1, 1.21.75, 75,20160907,20160907_9
118,6, 12, CHEERFUL BOY, (V019), H T Mo, C S Shum, 105, 1085, 11, 3-1/2, 1.22.13, 15,20160907,20160907_9
119,8, 2, JOYFUL MOMENTS, (T134), N Callan, R Gibson, 133, 1091, 6, 5-1/2, 1.22.44, 10,20160907,20160907_9
120,10, 5, YORKSHIRE DALES, (V173), M L Yeung, C S Shum, 123, 1037, 1, 8-1/2, 1.22.92, 99,20160907,20160907_9
121,12, 1, BALAY BALAY, (V247), M Chadwick, A T Millard, 133, 1125, 7, 17-1/2, 1.24.37, 99,20160907,20160907_9
122,1, 12, FLYING MOOCHI, (T116), H N Wong, Y S Tsui, 108, 1094, 1, -, 1.20.76, 16,20160907,20160907_10
123,3, 14, PIKACHU, (S298), K Teetan, D E Ferraris, 114, 1119, 8, 1-1/4, 1.20.96, 5.2,20160907,20160907_10
124,5, 7, CALIFORNIA DISEGNO, (V170), M Chadwick, A S Cruz, 119, 1093, 6, 2-1/2, 1.21.16, 21,20160907,20160907_10
125,7, 8, TRAVEL FIRST, (T098), K C Ng, C H Yip, 113, 1180, 2, 4-3/4, 1.21.51, 99,20160907,20160907_10
126,9, 3, UNIVERSAL UNION, (S263), B Prebble, T P Yung, 124, 1219, 3, 8-1/2, 1.22.12, 26,20160907,20160907_10
127,11, 13, LAND GRANT, (V131), K C Leung, C S Shum, 114, 1136, 11, 11-1/4, 1.22.57, 84,20160907,20160907_10
128,13, 4, KING GENKI, (V181), D Whyte, A S Cruz, 122, 1223, 7, 12, 1.22.68, 39,20160907,20160907_10
129,2, 6, MERION, (V080), N Callan, D Cruz, 121, 1193, 4, 1-1/4, 1.20.95, 6.5,20160907,20160907_10
130,4, 1, CIRCUIT LAND, (T219), H T Mo, C S Shum, 123, 1035, 5, 1-1/2, 1.20.99, 13,20160907,20160907_10
131,6, 9, UP AND COMING, (S266), Z Purton, K W Lui, 120, 1127, 9, 4, 1.21.39, 16,20160907,20160907_10
132,8, 10, MIGHTY MAVERICK, (V150), K K Chiong, D Cruz, 109, 1109, 12, 6-1/4, 1.21.76, 14,20160907,20160907_10
133,10, 5, CHEEKY TOO, (T152), S Clipperton, J Moore, 121, 1153, 13, 9-1/2, 1.22.28, 99,20160907,20160907_10
134,12, 2, SPICY SURE, (T234), J Moreira, K L Man, 125, 1125, 10, 12, 1.22.67, 2.2,20160907,20160907_10
135,14, 11, WHY WHY, (P372), M L Yeung, C Fownes, 114, 1170, 14, 13, 1.22.85, 99,20160907,20160907_10
136,1, 9, ORIENTAL FANTASIA, (P269), H N Wong, Y S Tsui, 110, 1098, 1, -, 1.11.08, 3.9,20160907,20160907_1
137,3, 5, SHINING CHAMPION, (S305), N Callan, R Gibson, 132, 1117, 7, 1, 1.11.26, 35,20160907,20160907_1
138,5, 4, IDYLLIC WIND, (N139), D Whyte, T K Ng, 132, 1197, 2, 1-1/4, 1.11.29, 9.8,20160907,20160907_1
139,7, 7, OPTIMISM, (S150), J Moreira, D E Ferraris, 128, 1063, 12, 2-1/2, 1.11.48, 5,20160907,20160907_1
140,9, 6, GIDDY GIDDY, (S367), O Doleuze, J Size, 131, 1102, 8, 3-1/4, 1.11.60, 14,20160907,20160907_1
141,11, 3, RUGBY DIAMOND, (S432), K K Chiong, W Y So, 126, 1031, 9, 5-1/2, 1.11.94, 8,20160907,20160907_1
142,WV, FORMULA GALORE, (V011), Z Purton, C Fownes, 133, 1074, ---, ---, -,,,20160907,20160907_1
143,2, 10, GREAT SPEED, (S251), T H So, L Ho, 112, 1093, 6, 3/4, 1.11.21, 6.7,20160907,20160907_1
144,4, 11, INTELLECTUAL GLIDE, (S124), M L Yeung, A Lee, 112, 1014, 3, 1-1/4, 1.11.28, 9.5,20160907,20160907_1
145,6, 2, FORZA AVANTI, (V090), Y T Cheng, Y S Tsui, 130, 1100, 11, 2-1/4, 1.11.44, 53,20160907,20160907_1
146,8, 1, FOREVER FUN, (S130), N Rawiller, K L Man, 133, 1023, 4, 3, 1.11.55, 11,20160907,20160907_1
147,10, 8, KING OF SMARTS, (S176), K C Leung, D Cruz, 115, 1055, 10, 3-1/2, 1.11.62, 26,20160907,20160907_1
148,12, 12, SMART GAIN, (T404), K C Ng, C W Chang, 108, 1018, 5, 7-3/4, 1.12.32, 28,20160907,20160907_1
149,1, 5, FLYING MONKEY, (T361), J Moreira, W Y So, 125, 1070, 7, -, 1.10.78, 2.5,20160907,20160907_2
150,3, 8, EMPEROR VICTORY, (T340), D Whyte, Y S Tsui, 121, 1075, 2, 1-1/4, 1.10.97, 9.5,20160907,20160907_2
151,5, 3, BREEDERS' STAR, (V197), B Prebble, D E Ferraris, 128, 1148, 8, 3, 1.11.27, 13,20160907,20160907_2
152,7, 7, BORN TO RACE, (T383), C Y Ho, C Fownes, 119, 1111, 5, 3-1/4, 1.11.32, 18,20160907,20160907_2
153,9, 2, ROCKET LET WIN, (P330), K C Leung, D Cruz, 129, 1078, 4, 5-1/2, 1.11.67, 51,20160907,20160907_2
154,11, 4, GENTILIS, (S011), K K Chiong, C H Yip, 121, 1068, 3, 7-3/4, 1.12.02, 6,20160907,20160907_2
155,2, 1, MISSION POSSIBLE, (V043), N Rawiller, C S Shum, 133, 962, 6, 1/2, 1.10.85, 4.4,20160907,20160907_2
156,4, 11, MR KOOL, (T335), M Chadwick, A S Cruz, 116, 1049, 1, 2-3/4, 1.11.21, 8.5,20160907,20160907_2
157,6, 9, PENNY LANE, (P021), K Teetan, A T Millard, 121, 1149, 10, 3-1/4, 1.11.32, 94,20160907,20160907_2
158,8, 12, ST YAZIN, (N409), T H So, T K Ng, 113, 1064, 12, 4-1/4, 1.11.45, 48,20160907,20160907_2
159,10, 10, RISING POWER, (N294), O Doleuze, C W Chang, 120, 1082, 9, 6, 1.11.74, 72,20160907,20160907_2
160,12, 6, MASTER GOLD, (T325), Y T Cheng, L Ho, 125, 1108, 11, 10, 1.12.40, 99,20160907,20160907_2
161,1, 6, SPEEDY WALLY, (T002), Z Purton, C Fownes, 126, 1098, 4, -, 1.42.27, 4.8,20160907,20160907_3
162,3, 8, MI SAVVY BOY, (S381), K Teetan, A T Millard, 125, 1093, 7, 2-3/4, 1.42.73, 13,20160907,20160907_3
163,5, 5, GLAMOROUS RYDER, (S007), S Clipperton, P O'Sullivan, 126, 1079, 5, 3-1/2, 1.42.83, 48,20160907,20160907_3
164,7, 7, FLYING MACHINE, (T413), J Moreira, W Y So, 125, 1066, 2, 4-1/2, 1.42.99, 3.9,20160907,20160907_3
165,9, 4, SAFARI MAGIC, (N166), H N Wong, Y S Tsui, 120, 1111, 6, 7, 1.43.38, 14,20160907,20160907_3
166,11, 12, MIGHTY WONGCHOY, (S050), K K Chiong, K L Man, 106, 1106, 10, 11, 1.44.01, 5.6,20160907,20160907_3
167,2, 2, ISLAND FLYER, (S423), O Bosson, P F Yiu, 132, 1085, 9, 2-1/4, 1.42.64, 15,20160907,20160907_3
168,4, 3, YEUNG SING, (P001), N Rawiller, K W Lui, 131, 1105, 1, 3, 1.42.76, 7.6,20160907,20160907_3
169,6, 9, PRECIOUS GEM, (S097), C Y Ho, T K Ng, 118, 1106, 11, 4-1/4, 1.42.96, 19,20160907,20160907_3
170,8, 1, BEST JADE TRIUMPH, (P070), B Prebble, A Lee, 133, 1013, 12, 6-3/4, 1.43.34, 18,20160907,20160907_3
171,10, 10, HIGH SPEED METRO, (P293), T H So, L Ho, 117, 1139, 3, 7-1/4, 1.43.43, 17,20160907,20160907_3
172,12, 11, DRAGON GLORY, (P130), K C Leung, C W Chang, 115, 1102, 8, 18-1/4, 1.45.19, 19,20160907,20160907_3
173,1, 7, SUPER FORM, (T232), K Teetan, A T Millard, 123, 1095, 8, -, 1.42.08, 94,20160907,20160907_4
174,3, 9, NEWSWIRE FREE, (S407), N Callan, P F Yiu, 120, 1118, 7, 1, 1.42.26, 8.6,20160907,20160907_4
175,5, 3, SUPER SPRINTER, (V105), J Moreira, C S Shum, 128, 1029, 6, 2, 1.42.41, 2.6,20160907,20160907_4
176,7, 2, BEST TANGO, (S121), Z Purton, W Y So, 132, 1056, 12, 3-3/4, 1.42.68, 5.7,20160907,20160907_4
177,9, 10, NOBLE DE MAN, (S215), K K Chiong, K L Man, 109, 1051, 4, 4-3/4, 1.42.82, 9.4,20160907,20160907_4
178,11, 12, FAITHFUL BOY, (T089), Y T Cheng, Y S Tsui, 115, 1085, 1, 5, 1.42.88, 13,20160907,20160907_4
179,2, 11, GLORY STAR, (T336), T H So, C S Shum, 113, 1108, 2, 1/2, 1.42.17, 13,20160907,20160907_4
180,4, 6, RAPID TRIUMPH, (S438), O Bosson, T P Yung, 124, 1053, 9, 1-1/2, 1.42.32, 15,20160907,20160907_4
181,6, 8, MAC ROW, (N252), M L Yeung, A Lee, 118, 1005, 5, 3-3/4, 1.42.66, 14,20160907,20160907_4
182,8, 4, LIGHTNING AND GOLD, (P354), D Whyte, C H Yip, 125, 1074, 3, 4-1/4, 1.42.77, 19,20160907,20160907_4
183,10, 5, SPARKLING SWORD, (P256), H W Lai, K W Lui, 125, 1165, 10, 5, 1.42.87, 55,20160907,20160907_4
184,12, 1, GRAND HARBOUR, (P421), O Doleuze, C W Chang, 133, 1174, 11, 13-1/2, 1.44.22, 13,20160907,20160907_4
185,1, 9, HO HO FEEL, (T029), K C Leung, C H Yip, 116, 1147, 3, -, 1.41.31, 6.1,20160907,20160907_6
186,3, 7, HAPPY SPIRIT, (V008), K C Ng, A S Cruz, 116, 1092, 12, 1-1/4, 1.41.49, 7.3,20160907,20160907_6
187,5, 10, LUCKY HAMMER, (P417), Y T Cheng, Y S Tsui, 117, 1080, 6, 2-1/2, 1.41.71, 18,20160907,20160907_6
188,7, 1, JOLLY GENE, (T146), M Chadwick, A S Cruz, 133, 1092, 7, 2-3/4, 1.41.74, 61,20160907,20160907_6
189,9, 2, KING OF MONGOLIA, (S414), J Moreira, C S Shum, 131, 1122, 1, 3-1/2, 1.41.86, 2.4,20160907,20160907_6
190,11, 3, GOLDEN SLEEP, (T117), K Teetan, A T Millard, 129, 1157, 11, 3-3/4, 1.41.89, 15,20160907,20160907_6
191,2, 4, HAPPY CONTENDER, (T363), O Doleuze, R Gibson, 125, 1134, 10, NOSE, 1.41.31, 11,20160907,20160907_6
192,4, 5, CHATER LEGEND, (T151), D Whyte, D E Ferraris, 122, 1045, 4, 1-1/2, 1.41.55, 7.4,20160907,20160907_6
193,6, 6, LOTUS STRIKES BACK, (T145), Z Purton, J Moore, 122, 1035, 5, 2-1/2, 1.41.73, 14,20160907,20160907_6
194,8, 11, TOWERING STORM, (M401), M L Yeung, P F Yiu, 114, 1077, 9, 3, 1.41.81, 72,20160907,20160907_6
195,10, 12, REGENCY KING, (N040), T H So, W Y So, 113, 1177, 8, 3-1/2, 1.41.87, 30,20160907,20160907_6
196,12, 8, VANILLA, (P439), C Y Ho, C Fownes, 119, 1080, 2, 4, 1.41.96, 41,20160907,20160907_6
197,1, 8, HANG'S DECISION, (T262), Z Purton, W Y So, 122, 1085, 2, -, 1.10.70, 3.3,20160907,20160907_7
198,3, 10, I'M A WITNESS, (T405), M Chadwick, A S Cruz, 119, 1082, 3, 2-1/4, 1.11.07, 8,20160907,20160907_7
